iter	Passed	Remaining
0	175	175106
1	177	88755
2	180	59980
3	182	45365
4	184	36672
5	187	30994
6	188	26738
7	189	23499
8	190	20981
9	191	18966
10	192	17306
11	193	15924
12	194	14756
13	195	13752
14	197	12965
15	199	12259
16	200	11604
17	201	10995
18	202	10447
19	203	9955
20	203	9509
21	204	9110
22	205	8742
23	206	8404
24	207	8093
25	209	7844
26	211	7632
27	213	7408
28	214	7177
29	215	6958
30	216	6753
31	216	6562
32	217	6382
33	218	6212
34	219	6049
35	220	5899
36	221	5759
37	222	5622
38	223	5512
39	225	5416
40	227	5314
41	228	5202
42	229	5097
43	229	4994
44	230	4895
45	231	4801
46	232	4714
47	233	4632
48	234	4557
49	236	4495
50	238	4438
51	240	4376
52	241	4309
53	242	4241
54	243	4175
55	243	4112
56	244	4048
57	245	3990
58	246	3934
59	247	3878
60	248	3824
61	250	3789
62	252	3752
63	253	3707
64	254	3658
65	255	3610
66	255	3563
67	256	3520
68	257	3478
69	258	3435
70	259	3394
71	260	3353
72	260	3314
73	262	3278
74	262	3242
75	264	3219
76	266	3192
77	267	3161
78	268	3130
79	269	3099
80	270	3068
81	271	3042
82	272	3008
83	274	2990
84	275	2965
85	276	2938
86	277	2913
87	278	2888
88	280	2871
89	282	2859
90	283	2836
91	285	2813
92	285	2787
93	286	2761
94	287	2736
95	288	2713
96	289	2691
97	289	2668
98	290	2647
99	291	2626
100	292	2605
101	293	2587
102	297	2588
103	299	2584
104	301	2567
105	303	2555
106	304	2540
107	305	2525
108	306	2509
109	309	2506
110	313	2512
111	315	2503
112	316	2486
113	317	2470
114	319	2458
115	320	2442
116	321	2424
117	324	2424
118	329	2440
119	330	2426
120	332	2413
121	333	2402
122	334	2388
123	336	2374
124	337	2361
125	344	2386
126	345	2372
127	346	2359
128	347	2347
129	349	2336
130	350	2323
131	352	2315
132	360	2349
133	363	2348
134	364	2337
135	370	2354
136	375	2362
137	376	2354
138	378	2344
139	385	2367
140	388	2366
141	389	2353
142	391	2346
143	393	2336
144	394	2324
145	395	2312
146	396	2300
147	398	2296
148	401	2293
149	403	2285
150	404	2273
151	405	2263
152	408	2260
153	409	2247
154	410	2236
155	412	2232
156	417	2242
157	418	2231
158	419	2220
159	421	2210
160	422	2200
161	423	2189
162	424	2179
163	425	2170
164	431	2184
165	433	2176
166	434	2166
167	435	2155
168	435	2143
169	436	2133
170	437	2122
171	438	2111
172	439	2101
173	441	2093
174	449	2120
175	451	2113
176	452	2103
177	453	2094
178	454	2084
179	457	2084
180	461	2089
181	465	2092
182	466	2083
183	467	2073
184	468	2063
185	469	2053
186	470	2044
187	471	2035
188	475	2042
189	478	2038
190	479	2030
191	480	2021
192	481	2012
193	482	2003
194	483	1994
195	484	1986
196	485	1978
197	494	2002
198	496	1997
199	498	1994
200	499	1987
201	500	1979
202	505	1985
203	508	1983
204	509	1976
205	510	1968
206	512	1961
207	513	1955
208	514	1947
209	515	1939
210	517	1934
211	522	1940
212	523	1934
213	524	1926
214	525	1918
215	526	1910
216	527	1903
217	528	1896
218	529	1889
219	531	1883
220	534	1882
221	536	1880
222	537	1874
223	538	1867
224	540	1860
225	543	1860
226	544	1853
227	545	1845
228	546	1838
229	548	1835
230	550	1832
231	551	1827
232	552	1819
233	553	1813
234	554	1806
235	555	1799
236	556	1792
237	558	1786
238	558	1779
239	559	1772
240	560	1764
241	561	1757
242	562	1752
243	564	1749
244	566	1745
245	567	1738
246	567	1731
247	568	1724
248	569	1717
249	570	1710
250	571	1704
251	571	1697
252	572	1690
253	573	1684
254	574	1677
255	574	1670
256	575	1664
257	577	1662
258	580	1660
259	582	1657
260	583	1651
261	584	1645
262	585	1639
263	585	1633
264	587	1628
265	588	1623
266	589	1617
267	590	1611
268	591	1607
269	594	1606
270	595	1603
271	596	1597
272	597	1592
273	598	1586
274	599	1581
275	600	1575
276	601	1570
277	602	1565
278	603	1560
279	604	1554
280	605	1549
281	607	1545
282	608	1542
283	609	1537
284	610	1531
285	611	1526
286	612	1521
287	613	1515
288	613	1510
289	614	1504
290	615	1499
291	616	1493
292	616	1488
293	617	1482
294	618	1478
295	619	1473
296	620	1469
297	624	1470
298	625	1466
299	626	1461
300	627	1456
301	628	1451
302	628	1446
303	629	1441
304	630	1436
305	631	1431
306	631	1426
307	632	1421
308	633	1416
309	634	1411
310	635	1407
311	638	1407
312	639	1403
313	640	1399
314	641	1394
315	642	1390
316	643	1385
317	644	1381
318	645	1378
319	646	1374
320	647	1370
321	648	1365
322	650	1362
323	652	1361
324	654	1359
325	655	1355
326	656	1351
327	657	1346
328	658	1342
329	658	1337
330	659	1333
331	660	1328
332	661	1324
333	662	1320
334	662	1316
335	663	1311
336	664	1307
337	666	1304
338	668	1302
339	669	1298
340	669	1294
341	670	1290
342	671	1286
343	672	1282
344	673	1278
345	673	1273
346	674	1269
347	675	1265
348	676	1261
349	676	1257
350	678	1253
351	679	1250
352	680	1248
353	683	1247
354	684	1244
355	685	1240
356	686	1236
357	687	1232
358	688	1228
359	688	1224
360	689	1220
361	690	1217
362	691	1213
363	692	1209
364	693	1205
365	693	1201
366	694	1198
367	696	1195
368	698	1193
369	699	1190
370	700	1187
371	701	1184
372	702	1181
373	703	1177
374	704	1173
375	705	1171
376	706	1167
377	708	1165
378	709	1162
